Item,Quantity,Total price+Shipping,Use In project,Item Source
Bearings 8x22x7mm,10pcs min purchase 2 used,$6.36,Rotates the main pivot,https://www.aliexpress.us/item/3256807915662185.html?spm=a2g0o.cart.0.0.5c7c38daZ6xG7Y&mp=1&pdp_npi=5%40dis%21USD%21USD%206.36%21USD%206.36%21%21USD%206.36%21%21%21%402103241117601158106153970edd5e%2112000043764624115%21ct%21US%214381910819%21%211%210&gatewayAdapt=glo2usa
Magnets 5x2mm,10pcs min purchase 1 used,$1.80,Magnets,https://www.aliexpress.us/item/3256809772407336.html?spm=a2g0o.cart.0.0.5c7c38daZ6xG7Y&mp=1&pdp_npi=5%40dis%21USD%21USD%203.60%21USD%201.80%21%21USD%201.80%21%21%21%402103241117601158106153970edd5e%2112000050942051023%21ct%21US%214381910819%21%211%210&gatewayAdapt=glo2usa
KY-035 Hall Sensor,2pcs for 20 cents more these are not very reliable 1 used,$2.85,Senses the halls (Magnet),https://www.aliexpress.us/item/3256806209950505.html?spm=a2g0o.cart.0.0.5c7c38daZ6xG7Y&mp=1&pdp_npi=5%40dis%21USD%21USD%202.85%21USD%202.85%21%21USD%202.85%21%21%21%402103241117601158106153970edd5e%2112000040733161680%21ct%21US%214381910819%21%211%210&gatewayAdapt=glo2usa
Pro Micro usbc,1x,$7.05,Controls everything,https://www.aliexpress.us/item/3256806468327207.html?spm=a2g0o.cart.0.0.5c7c38daZ6xG7Y&mp=1&pdp_npi=5%40dis%21USD%21USD%207.05%21USD%207.05%21%21USD%207.05%21%21%21%402103241117601158106153970edd5e%2112000037934408603%21ct%21US%214381910819%21%211%210&gatewayAdapt=glo2usa
Spring Blue/whatever color 20x10x80mm,1x,$4.80,Spring tension,https://www.aliexpress.us/item/3256806244146198.html?spm=a2g0o.cart.0.0.5c7c38daZ6xG7Y&mp=1&pdp_npi=5%40dis%21USD%21USD%204.80%21USD%204.80%21%21USD%204.80%21%21%21%402103241117601158106153970edd5e%2112000037140711973%21ct%21US%214381910819%21%211%210&gatewayAdapt=glo2usa
Pins 8x40mm,10pcs min purchase 2 used,$6.78,pivot points,https://www.aliexpress.us/item/3256806373526334.html?spm=a2g0o.cart.0.0.5c7c38daZ6xG7Y&mp=1&pdp_npi=5%40dis%21USD%21USD%206.78%21USD%206.78%21%21USD%206.78%21%21%21%402103241117601158106153970edd5e%2112000037670585198%21ct%21US%214381910819%21%211%210&gatewayAdapt=glo2usa
2020 V slot 350mm,1x,$12.84,shaft,https://www.aliexpress.us/item/3256803241979487.html?spm=a2g0o.cart.0.0.5c7c38daZ6xG7Y&mp=1&pdp_npi=5%40dis%21USD%21USD%2011.32%21USD%208.49%21%21USD%208.49%21%21%21%402103241117601158106153970edd5e%2112000025755955311%21ct%21US%214381910819%21%211%210&gatewayAdapt=glo2usa
Optional(Laser cut acrylic),1x,$8,COOOOL lookin sides,My uni makerspace
Tax ,Its tax,$2.98,Taxes,
TOTAL,,$53.46,,
